Film;ID;Review
Killers;100000010;Review: Got it safe.....when i ordered i was tensed as ....i thgt it might have cracks....but amazing product....thanku apple...thanku .....amazon....thnku for the best courier service
Just Wright;100000011;Review: Don't want to mention anything for apple MAC book :) Super product
Jane Eyre;100000012;Review: Always apple is the best product.build quality and software works together.u can’t use this one for media purposes.its one time investment for office use.
It's Complicated;100000013;Review: its a amazing product for a normal user....amazon had a good packing also
I Love You Phillip Morris;100000014;Review: excellent product with good exchange price... I like product and service
High School Musical 3: Senior Year;100000015;Review: What a fine piece of design and engineering! If you can get this. DO GET IT.
He's Just Not That Into You;100000016;Review: warranty details are fine upgraded to high Sierra performing well.. not using it heavily but yes Best Buy for the price. Will update again after usage
Good Luck Chuck;100000017;Review: All works fine. No issues or defects till now. Its nearly more than a month from purchase. Nice packaging. Perfectly planned delivery.
Going the Distance;100000018;Review: Loving it so far...1 star less because the capslock key is a little defective...doesn't press at once.
Gnomeo and Juliet;100000019;Review: was looking for a light laptop for multimedia use. perfect travel companion. as I was already using iOS ecosystem. was nt tough to shift from windows to apple.
Gnomeo and Juliet;100000020;Review: Best rate got from market value for money great quality
Ghosts of Girlfriends Past;100000021;Review: Not much to be said. apple is always great in quality and the look and feel!!
Four Christmases;100000022;Review: 10/10......the best laptop in world. apple products are amazing. you will never regret it buying.
Fireproof;100000023;Review: Fast Processor & user friendly Amazing Battery life !
Enchanted;100000024;Review: Very good and light weight laptop. This is a perfect choice for bloggers. Excellent battery life.
Dear John;100000025;Review: MacBook..nothing to say. I have been using it since last 4 months.
Beginners;100000026;Review: Great product. timeless design but flawless. Apple has been best at making things which do what they are suppose to without much fuss and pomp
Across the Universe;100000027;Review: Best decision I have ever made. Good purchase.
A Serious Man;100000028;Review: Am happy that I switch from Windows to Mac
A Dangerous Method;100000029;Review: First time using Apple product. Amazing experience. Loved it
27 Dresses;100000030;Review: Its a fantastic machine. very smooth touchpad. fine keyboard and awesome performance. Now I will never switch to windows and thanks Amazon for giving too much discount.
(500) Days of Summer;100000031;Review: Great product as usual from apple. I ordered it for my wife. and she is loving it :-)
